Successful: 4728
Failed: 2328
Sent to users:
1. User ID: 1103861, Status: Delivered
2. User ID: 2491800, Status: Delivered
3. User ID: 9479431, Status: Delivered
4. User ID: 24630051, Status: Not delivered
5. User ID: 26493032, Status: Delivered
6. User ID: 32685687, Status: Delivered
7. User ID: 34544269, Status: Delivered
8. User ID: 36106360, Status: Not delivered
9. User ID: 37201561, Status: Delivered
10. User ID: 39028947, Status: Not delivered
11. User ID: 41326916, Status: Delivered
12. User ID: 42710138, Status: Delivered
13. User ID: 43553861, Status: Not delivered
14. User ID: 47090641, Status: Not delivered
15. User ID: 48433195, Status: Delivered
16. User ID: 48490327, Status: Delivered
17. User ID: 49368302, Status: Delivered
18. User ID: 49662600, Status: Not delivered
19. User ID: 49857221, Status: Delivered
20. User ID: 53850267, Status: Not delivered
21. User ID: 58961514, Status: Not delivered
22. User ID: 59795979, Status: Delivered
23. User ID: 59894358, Status: Delivered
24. User ID: 60485121, Status: Delivered
25. User ID: 60911615, Status: Not delivered
26. User ID: 63189939, Status: Delivered
27. User ID: 63693365, Status: Delivered
28. User ID: 63716636, Status: Delivered
29. User ID: 64073936, Status: Delivered
30. User ID: 65313117, Status: Delivered
31. User ID: 65858517, Status: Not delivered
32. User ID: 67276826, Status: Delivered
33. User ID: 67617441, Status: Delivered
34. User ID: 67639338, Status: Not delivered
35. User ID: 68242893, Status: Not delivered
36. User ID: 68412164, Status: Delivered
37. User ID: 68799425, Status: Delivered
38. User ID: 69395841, Status: Delivered
39. User ID: 69729923, Status: Delivered
40. User ID: 70460407, Status: Delivered
41. User ID: 72719391, Status: Not delivered
42. User ID: 73702685, Status: Delivered
43. User ID: 75203555, Status: Delivered
44. User ID: 75460151, Status: Delivered
45. User ID: 75841814, Status: Not delivered
46. User ID: 77627595, Status: Delivered
47. User ID: 78047313, Status: Delivered
48. User ID: 79181840, Status: Not delivered
49. User ID: 79408199, Status: Delivered
50. User ID: 80930773, Status: Not delivered
51. User ID: 81111622, Status: Not delivered
52. User ID: 83045490, Status: Not delivered
53. User ID: 83676223, Status: Not delivered
54. User ID: 83766527, Status: Not delivered
55. User ID: 84665162, Status: Not delivered
56. User ID: 84816879, Status: Delivered
57. User ID: 85759815, Status: Delivered
58. User ID: 86381572, Status: Delivered
59. User ID: 87741936, Status: Delivered
60. User ID: 89508675, Status: Not delivered
61. User ID: 89577811, Status: Not delivered
62. User ID: 90071495, Status: Delivered
63. User ID: 91102361, Status: Delivered
64. User ID: 91141407, Status: Not delivered
65. User ID: 91758276, Status: Delivered
66. User ID: 92308049, Status: Delivered
67. User ID: 92329207, Status: Delivered
68. User ID: 92465644, Status: Delivered
69. User ID: 92533952, Status: Delivered
70. User ID: 92841031, Status: Not delivered
71. User ID: 94716555, Status: Delivered
72. User ID: 94788558, Status: Not delivered
73. User ID: 95097720, Status: Not delivered
74. User ID: 96175054, Status: Delivered
75. User ID: 96257223, Status: Delivered
76. User ID: 96327784, Status: Delivered
77. User ID: 96455116, Status: Delivered
78. User ID: 96786802, Status: Delivered
79. User ID: 97183879, Status: Not delivered
80. User ID: 97562680, Status: Delivered
81. User ID: 97575859, Status: Delivered
82. User ID: 97937973, Status: Delivered
83. User ID: 98478983, Status: Delivered
84. User ID: 101289458, Status: Not delivered
85. User ID: 101617712, Status: Not delivered
86. User ID: 103753144, Status: Delivered
87. User ID: 104175336, Status: Not delivered
88. User ID: 105584318, Status: Delivered
89. User ID: 106269783, Status: Not delivered
90. User ID: 106526671, Status: Delivered
91. User ID: 106629829, Status: Not delivered
92. User ID: 106704433, Status: Delivered
93. User ID: 107032810, Status: Delivered
94. User ID: 107364162, Status: Delivered
95. User ID: 107570114, Status: Not delivered
96. User ID: 108552650, Status: Not delivered
97. User ID: 108803438, Status: Delivered
98. User ID: 108978003, Status: Delivered
99. User ID: 109576635, Status: Delivered
100. User ID: 109904867, Status: Delivered
101. User ID: 110685067, Status: Delivered
102. User ID: 111490793, Status: Delivered
103. User ID: 111830714, Status: Not delivered
104. User ID: 111961906, Status: Delivered
105. User ID: 112499052, Status: Delivered
106. User ID: 112618119, Status: Delivered
107. User ID: 112677136, Status: Delivered
108. User ID: 113595774, Status: Not delivered
109. User ID: 114502735, Status: Not delivered
110. User ID: 114643276, Status: Not delivered
111. User ID: 115027288, Status: Not delivered
112. User ID: 115630751, Status: Delivered
113. User ID: 117191138, Status: Delivered
114. User ID: 120540210, Status: Not delivered
115. User ID: 121811624, Status: Not delivered
116. User ID: 122225398, Status: Delivered
117. User ID: 122692828, Status: Not delivered
118. User ID: 123037943, Status: Not delivered
119. User ID: 124464042, Status: Not delivered
120. User ID: 125207953, Status: Not delivered
121. User ID: 125837132, Status: Delivered
122. User ID: 126990848, Status: Delivered
123. User ID: 127111957, Status: Not delivered
124. User ID: 129832045, Status: Not delivered
125. User ID: 130066518, Status: Delivered
126. User ID: 131540122, Status: Delivered
127. User ID: 134747784, Status: Not delivered
128. User ID: 135608048, Status: Not delivered
129. User ID: 136481759, Status: Delivered
130. User ID: 136652769, Status: Delivered
131. User ID: 138227772, Status: Not delivered
132. User ID: 139656044, Status: Delivered
133. User ID: 140476040, Status: Not delivered
134. User ID: 140753476, Status: Not delivered
135. User ID: 141554585, Status: Delivered
136. User ID: 143463923, Status: Delivered
137. User ID: 145063024, Status: Delivered
138. User ID: 145470245, Status: Not delivered
139. User ID: 145739650, Status: Delivered
140. User ID: 147452665, Status: Delivered
141. User ID: 150517730, Status: Not delivered
142. User ID: 152074990, Status: Delivered
143. User ID: 155051415, Status: Not delivered
144. User ID: 155064819, Status: Not delivered
145. User ID: 157989781, Status: Not delivered
146. User ID: 158427393, Status: Delivered
147. User ID: 162483667, Status: Delivered
148. User ID: 163889654, Status: Delivered
149. User ID: 164867487, Status: Not delivered
150. User ID: 164945504, Status: Delivered
151. User ID: 164985812, Status: Delivered
152. User ID: 165105968, Status: Not delivered
153. User ID: 168038045, Status: Delivered
154. User ID: 169305452, Status: Delivered
155. User ID: 169603075, Status: Delivered
156. User ID: 170049615, Status: Delivered
157. User ID: 170600123, Status: Delivered
158. User ID: 171572232, Status: Delivered
159. User ID: 174691781, Status: Delivered
160. User ID: 175698593, Status: Not delivered
161. User ID: 177722847, Status: Not delivered
162. User ID: 178951385, Status: Delivered
163. User ID: 179778477, Status: Delivered
164. User ID: 179999572, Status: Not delivered
165. User ID: 181938015, Status: Delivered
166. User ID: 182255826, Status: Delivered
167. User ID: 182860204, Status: Delivered
168. User ID: 184159126, Status: Not delivered
169. User ID: 189945754, Status: Delivered
170. User ID: 192703815, Status: Not delivered
171. User ID: 195850748, Status: Delivered
172. User ID: 198682247, Status: Delivered
173. User ID: 200774392, Status: Not delivered
174. User ID: 201431981, Status: Delivered
175. User ID: 203008578, Status: Delivered
176. User ID: 208457864, Status: Delivered
177. User ID: 208784838, Status: Not delivered
178. User ID: 211252937, Status: Delivered
179. User ID: 213797885, Status: Not delivered
180. User ID: 214819741, Status: Not delivered
181. User ID: 215403880, Status: Not delivered
182. User ID: 217499062, Status: Delivered
183. User ID: 217546864, Status: Not delivered
184. User ID: 218228787, Status: Delivered
185. User ID: 219796182, Status: Not delivered
186. User ID: 219804642, Status: Delivered
187. User ID: 220871639, Status: Not delivered
188. User ID: 221607190, Status: Delivered
189. User ID: 221705846, Status: Not delivered
190. User ID: 223780655, Status: Not delivered
191. User ID: 225993988, Status: Delivered
192. User ID: 227137429, Status: Not delivered
193. User ID: 227162473, Status: Delivered
194. User ID: 229178124, Status: Delivered
195. User ID: 229443409, Status: Delivered
196. User ID: 229453045, Status: Delivered
197. User ID: 230361570, Status: Delivered
198. User ID: 231533622, Status: Delivered
199. User ID: 233788246, Status: Delivered
200. User ID: 235449054, Status: Delivered
201. User ID: 236873988, Status: Delivered
202. User ID: 237082248, Status: Delivered
203. User ID: 238453893, Status: Not delivered
204. User ID: 242363189, Status: Delivered
205. User ID: 243440294, Status: Not delivered
206. User ID: 244809072, Status: Delivered
207. User ID: 246635395, Status: Delivered
208. User ID: 246849031, Status: Delivered
209. User ID: 247714183, Status: Delivered
210. User ID: 248085156, Status: Delivered
211. User ID: 248163254, Status: Delivered
212. User ID: 249780867, Status: Not delivered
213. User ID: 251847512, Status: Delivered
214. User ID: 252250407, Status: Not delivered
215. User ID: 252621960, Status: Not delivered
216. User ID: 253668293, Status: Not delivered
217. User ID: 253885001, Status: Delivered
218. User ID: 257354947, Status: Delivered
219. User ID: 258343862, Status: Not delivered
220. User ID: 259134870, Status: Delivered
221. User ID: 259594266, Status: Delivered
222. User ID: 263739131, Status: Not delivered
223. User ID: 263747184, Status: Delivered
224. User ID: 264958318, Status: Not delivered
225. User ID: 265301584, Status: Delivered
226. User ID: 265749107, Status: Not delivered
227. User ID: 267096191, Status: Not delivered
228. User ID: 267766434, Status: Not delivered
229. User ID: 269245498, Status: Not delivered
230. User ID: 270642745, Status: Delivered
231. User ID: 271281350, Status: Not delivered
232. User ID: 271940123, Status: Delivered
233. User ID: 273552548, Status: Delivered
234. User ID: 274635687, Status: Delivered
235. User ID: 275362576, Status: Not delivered
236. User ID: 277395393, Status: Not delivered
237. User ID: 277459439, Status: Delivered
238. User ID: 281934274, Status: Not delivered
239. User ID: 283452025, Status: Delivered
240. User ID: 284583831, Status: Not delivered
241. User ID: 285139012, Status: Not delivered
242. User ID: 285492075, Status: Delivered
243. User ID: 285630894, Status: Delivered
244. User ID: 285979233, Status: Not delivered
245. User ID: 287060787, Status: Delivered
246. User ID: 290331062, Status: Delivered
247. User ID: 291202920, Status: Not delivered
248. User ID: 291291845, Status: Not delivered
249. User ID: 292723927, Status: Delivered
250. User ID: 296840304, Status: Delivered
251. User ID: 297139335, Status: Delivered
252. User ID: 299175342, Status: Not delivered
253. User ID: 301686111, Status: Delivered
254. User ID: 301905872, Status: Delivered
255. User ID: 302402924, Status: Not delivered
256. User ID: 302799315, Status: Not delivered
257. User ID: 304426248, Status: Delivered
258. User ID: 306109601, Status: Delivered
259. User ID: 306193328, Status: Delivered
260. User ID: 310326257, Status: Delivered
261. User ID: 310331479, Status: Delivered
262. User ID: 311376540, Status: Not delivered
263. User ID: 314076805, Status: Not delivered
264. User ID: 314852258, Status: Not delivered
265. User ID: 315321163, Status: Delivered
266. User ID: 315727388, Status: Not delivered
267. User ID: 317812008, Status: Delivered
268. User ID: 318157758, Status: Delivered
269. User ID: 319048774, Status: Not delivered
270. User ID: 319916735, Status: Delivered
271. User ID: 323689490, Status: Delivered
272. User ID: 323989372, Status: Delivered
273. User ID: 326697915, Status: Delivered
274. User ID: 327365258, Status: Delivered
275. User ID: 327716686, Status: Not delivered
276. User ID: 328662311, Status: Delivered
277. User ID: 328760115, Status: Delivered
278. User ID: 328760904, Status: Not delivered
279. User ID: 329991263, Status: Delivered
280. User ID: 330134178, Status: Not delivered
281. User ID: 330701769, Status: Delivered
282. User ID: 331774749, Status: Delivered
283. User ID: 332571040, Status: Delivered
284. User ID: 332653412, Status: Delivered
285. User ID: 333212179, Status: Delivered
286. User ID: 334384650, Status: Delivered
287. User ID: 334388384, Status: Not delivered
288. User ID: 334869919, Status: Delivered
289. User ID: 335316710, Status: Delivered
290. User ID: 335398298, Status: Delivered
291. User ID: 335666069, Status: Delivered
292. User ID: 336425215, Status: Not delivered
293. User ID: 336507827, Status: Not delivered
294. User ID: 336784126, Status: Delivered
295. User ID: 337979883, Status: Delivered
296. User ID: 338234528, Status: Not delivered
297. User ID: 339082185, Status: Delivered
298. User ID: 339733446, Status: Delivered
299. User ID: 340089731, Status: Delivered
300. User ID: 340214550, Status: Delivered
301. User ID: 340867662, Status: Delivered
302. User ID: 341368213, Status: Not delivered
303. User ID: 342410357, Status: Delivered
304. User ID: 342519967, Status: Not delivered
305. User ID: 342552925, Status: Delivered
306. User ID: 344481536, Status: Delivered
307. User ID: 345805030, Status: Delivered
308. User ID: 347131894, Status: Not delivered
309. User ID: 347181396, Status: Delivered
310. User ID: 347958321, Status: Delivered
311. User ID: 348043264, Status: Not delivered
312. User ID: 348152929, Status: Delivered
313. User ID: 349082192, Status: Delivered
314. User ID: 351002397, Status: Not delivered
315. User ID: 351681726, Status: Delivered
316. User ID: 351791292, Status: Delivered
317. User ID: 354169472, Status: Delivered
318. User ID: 354340866, Status: Not delivered
319. User ID: 356074201, Status: Not delivered
320. User ID: 357234318, Status: Delivered
321. User ID: 357450690, Status: Not delivered
322. User ID: 357628883, Status: Not delivered
323. User ID: 358198046, Status: Delivered
324. User ID: 360069600, Status: Delivered
325. User ID: 362419814, Status: Delivered
326. User ID: 362854227, Status: Delivered
327. User ID: 365377795, Status: Not delivered
328. User ID: 367550238, Status: Delivered
329. User ID: 369197351, Status: Not delivered
330. User ID: 369469915, Status: Not delivered
331. User ID: 369927063, Status: Delivered
332. User ID: 370358181, Status: Delivered
333. User ID: 371037063, Status: Delivered
334. User ID: 372460573, Status: Delivered
335. User ID: 373261698, Status: Delivered
336. User ID: 373435259, Status: Delivered
337. User ID: 373651160, Status: Not delivered
338. User ID: 375609583, Status: Delivered
339. User ID: 375643054, Status: Delivered
340. User ID: 376312711, Status: Delivered
